,filename,dose_Gy,particle_type,hr_post_exposure
0,P242_73665006707-C8_020_003_proj.tif,0.82,Fe,4
1,P242_73665006707-C8_022_010_proj.tif,0.82,Fe,4
2,P242_73665006707-G3_007_038_proj.tif,0.82,Fe,4
3,P242_73665006707-C6_006_002_proj.tif,0.82,Fe,4
5,P242_73665006707-A6_001_039_proj.tif,0.82,Fe,4
7,P242_73665006707-C7_001_026_proj.tif,0.82,Fe,4
8,P242_73665006707-C7_003_018_proj.tif,0.82,Fe,4
10,P242_73665006707-G4_002_030_proj.tif,0.82,Fe,4
13,P242_73665006707-C7_022_018_proj.tif,0.82,Fe,4
14,P242_73665006707-A8_009_001_proj.tif,0.82,Fe,4
15,P242_73665006707-E4_015_007_proj.tif,0.82,Fe,4
18,P242_73665006707-C8_005_007_proj.tif,0.82,Fe,4
19,P242_73665006707-C6_013_004_proj.tif,0.82,Fe,4
21,P242_73665006707-G3_014_006_proj.tif,0.82,Fe,4
24,P242_73665006707-C8_020_016_proj.tif,0.82,Fe,4
25,P242_73665006707-A8_010_011_proj.tif,0.82,Fe,4
26,P242_73665006707-C8_009_011_proj.tif,0.82,Fe,4
27,P242_73665006707-E4_020_018_proj.tif,0.82,Fe,4
28,P242_73665006707-A8_031_008_proj.tif,0.82,Fe,4
31,P242_73665006707-A6_007_012_proj.tif,0.82,Fe,4
32,P242_73665006707-G4_003_017_proj.tif,0.82,Fe,4
36,P242_73665006707-E4_021_016_proj.tif,0.82,Fe,4
37,P242_73665006707-G4_017_009_proj.tif,0.82,Fe,4
42,P242_73665006707-C7_030_015_proj.tif,0.82,Fe,4
43,P242_73665006707-G3_003_030_proj.tif,0.82,Fe,4
45,P242_73665006707-C7_027_003_proj.tif,0.82,Fe,4
47,P242_73665006707-C8_018_016_proj.tif,0.82,Fe,4
48,P242_73665006707-C6_019_001_proj.tif,0.82,Fe,4
50,P242_73665006707-C8_007_012_proj.tif,0.82,Fe,4
55,P242_73665006707-A8_021_003_proj.tif,0.82,Fe,4
57,P242_73665006707-E4_009_040_proj.tif,0.82,Fe,4
59,P242_73665006707-G3_008_034_proj.tif,0.82,Fe,4
60,P242_73665006707-E4_004_016_proj.tif,0.82,Fe,4
61,P242_73665006707-G4_011_039_proj.tif,0.82,Fe,4
62,P242_73665006707-G3_005_038_proj.tif,0.82,Fe,4
63,P242_73665006707-E4_009_028_proj.tif,0.82,Fe,4
64,P242_73665006707-C7_010_027_proj.tif,0.82,Fe,4
66,P242_73665006707-E4_001_046_proj.tif,0.82,Fe,4
67,P242_73665006707-C8_007_028_proj.tif,0.82,Fe,4
68,P242_73665006707-G3_024_004_proj.tif,0.82,Fe,4
73,P242_73665006707-G3_002_054_proj.tif,0.82,Fe,4
75,P242_73665006707-G4_021_008_proj.tif,0.82,Fe,4
77,P242_73665006707-A8_014_002_proj.tif,0.82,Fe,4
78,P242_73665006707-C8_006_028_proj.tif,0.82,Fe,4
80,P242_73665006707-A6_006_013_proj.tif,0.82,Fe,4
81,P242_73665006707-G4_004_049_proj.tif,0.82,Fe,4
84,P242_73665006707-G4_016_010_proj.tif,0.82,Fe,4
88,P242_73665006707-G4_005_045_proj.tif,0.82,Fe,4
89,P242_73665006707-E4_001_050_proj.tif,0.82,Fe,4
93,P242_73665006707-C6_014_009_proj.tif,0.82,Fe,4
94,P242_73665006707-G3_001_065_proj.tif,0.82,Fe,4
95,P242_73665006707-C6_037_004_proj.tif,0.82,Fe,4
97,P242_73665006707-C8_001_038_proj.tif,0.82,Fe,4
99,P242_73665006707-G3_015_023_proj.tif,0.82,Fe,4
103,P242_73665006707-A6_001_043_proj.tif,0.82,Fe,4
105,P242_73665006707-G3_016_003_proj.tif,0.82,Fe,4
106,P242_73665006707-G3_009_025_proj.tif,0.82,Fe,4
107,P242_73665006707-C7_009_005_proj.tif,0.82,Fe,4
109,P242_73665006707-G4_007_020_proj.tif,0.82,Fe,4
110,P242_73665006707-C6_015_006_proj.tif,0.82,Fe,4
111,P242_73665006707-A8_014_004_proj.tif,0.82,Fe,4
114,P242_73665006707-G3_009_044_proj.tif,0.82,Fe,4
115,P242_73665006707-E4_006_020_proj.tif,0.82,Fe,4
121,P242_73665006707-C7_023_002_proj.tif,0.82,Fe,4
123,P242_73665006707-C6_001_015_proj.tif,0.82,Fe,4
124,P242_73665006707-G4_005_001_proj.tif,0.82,Fe,4
127,P242_73665006707-G4_020_018_proj.tif,0.82,Fe,4
128,P242_73665006707-A6_009_029_proj.tif,0.82,Fe,4
129,P242_73665006707-A6_006_026_proj.tif,0.82,Fe,4
131,P242_73665006707-A8_013_011_proj.tif,0.82,Fe,4
134,P242_73665006707-G3_010_011_proj.tif,0.82,Fe,4
136,P242_73665006707-G3_001_040_proj.tif,0.82,Fe,4
137,P242_73665006707-A6_006_035_proj.tif,0.82,Fe,4
141,P242_73665006707-A6_012_024_proj.tif,0.82,Fe,4
143,P242_73665006707-G4_018_010_proj.tif,0.82,Fe,4
144,P242_73665006707-C7_010_020_proj.tif,0.82,Fe,4
145,P242_73665006707-A6_003_024_proj.tif,0.82,Fe,4
147,P242_73665006707-C8_013_029_proj.tif,0.82,Fe,4
149,P242_73665006707-A8_004_009_proj.tif,0.82,Fe,4
150,P242_73665006707-G3_001_006_proj.tif,0.82,Fe,4
151,P242_73665006707-C8_006_003_proj.tif,0.82,Fe,4
153,P242_73665006707-G4_007_027_proj.tif,0.82,Fe,4
154,P242_73665006707-A6_013_020_proj.tif,0.82,Fe,4
156,P242_73665006707-A6_002_019_proj.tif,0.82,Fe,4
157,P242_73665006707-C7_016_001_proj.tif,0.82,Fe,4
158,P242_73665006707-C8_017_010_proj.tif,0.82,Fe,4
161,P242_73665006707-C8_002_025_proj.tif,0.82,Fe,4
162,P242_73665006707-C8_017_016_proj.tif,0.82,Fe,4
164,P242_73665006707-A6_011_017_proj.tif,0.82,Fe,4
165,P242_73665006707-C8_022_015_proj.tif,0.82,Fe,4
166,P242_73665006707-A8_016_014_proj.tif,0.82,Fe,4
167,P242_73665006707-A6_016_020_proj.tif,0.82,Fe,4
168,P242_73665006707-C7_017_017_proj.tif,0.82,Fe,4
170,P242_73665006707-A6_018_024_proj.tif,0.82,Fe,4
174,P242_73665006707-G4_016_013_proj.tif,0.82,Fe,4
177,P242_73665006707-C7_025_012_proj.tif,0.82,Fe,4
179,P242_73665006707-C7_023_011_proj.tif,0.82,Fe,4
181,P242_73665006707-G3_005_029_proj.tif,0.82,Fe,4
182,P242_73665006707-A6_012_023_proj.tif,0.82,Fe,4
184,P242_73665006707-C7_012_001_proj.tif,0.82,Fe,4
185,P242_73665006707-C7_005_008_proj.tif,0.82,Fe,4
188,P242_73665006707-A6_004_003_proj.tif,0.82,Fe,4
190,P242_73665006707-A6_007_008_proj.tif,0.82,Fe,4
191,P242_73665006707-G4_007_011_proj.tif,0.82,Fe,4
192,P242_73665006707-C7_002_044_proj.tif,0.82,Fe,4
197,P242_73665006707-G4_007_001_proj.tif,0.82,Fe,4
202,P242_73665006707-E4_001_047_proj.tif,0.82,Fe,4
203,P242_73665006707-E4_001_011_proj.tif,0.82,Fe,4
206,P242_73665006707-C7_007_014_proj.tif,0.82,Fe,4
207,P242_73665006707-G3_005_020_proj.tif,0.82,Fe,4
212,P242_73665006707-G3_008_022_proj.tif,0.82,Fe,4
214,P242_73665006707-G3_002_012_proj.tif,0.82,Fe,4
220,P242_73665006707-A8_014_018_proj.tif,0.82,Fe,4
223,P242_73665006707-E4_001_058_proj.tif,0.82,Fe,4
224,P242_73665006707-C8_022_021_proj.tif,0.82,Fe,4
225,P242_73665006707-C8_005_008_proj.tif,0.82,Fe,4
227,P242_73665006707-G4_004_028_proj.tif,0.82,Fe,4
230,P242_73665006707-G3_007_030_proj.tif,0.82,Fe,4
231,P242_73665006707-G4_006_012_proj.tif,0.82,Fe,4
232,P242_73665006707-C8_001_020_proj.tif,0.82,Fe,4
238,P242_73665006707-C7_024_008_proj.tif,0.82,Fe,4
240,P242_73665006707-A6_012_035_proj.tif,0.82,Fe,4
243,P242_73665006707-C6_013_005_proj.tif,0.82,Fe,4
244,P242_73665006707-C7_009_015_proj.tif,0.82,Fe,4
245,P242_73665006707-A6_001_026_proj.tif,0.82,Fe,4
246,P242_73665006707-A6_007_040_proj.tif,0.82,Fe,4
247,P242_73665006707-C7_001_038_proj.tif,0.82,Fe,4
248,P242_73665006707-C7_017_002_proj.tif,0.82,Fe,4
253,P242_73665006707-A6_008_010_proj.tif,0.82,Fe,4
254,P242_73665006707-A8_016_001_proj.tif,0.82,Fe,4
256,P242_73665006707-C8_014_005_proj.tif,0.82,Fe,4
262,P242_73665006707-A8_020_009_proj.tif,0.82,Fe,4
263,P242_73665006707-C8_011_007_proj.tif,0.82,Fe,4
265,P242_73665006707-C6_033_002_proj.tif,0.82,Fe,4
268,P242_73665006707-A6_003_003_proj.tif,0.82,Fe,4
269,P242_73665006707-C7_007_018_proj.tif,0.82,Fe,4
270,P242_73665006707-C7_001_016_proj.tif,0.82,Fe,4
271,P242_73665006707-C7_010_019_proj.tif,0.82,Fe,4
272,P242_73665006707-A8_002_012_proj.tif,0.82,Fe,4
273,P242_73665006707-E4_005_011_proj.tif,0.82,Fe,4
274,P242_73665006707-C7_013_015_proj.tif,0.82,Fe,4
277,P242_73665006707-G3_002_008_proj.tif,0.82,Fe,4
278,P242_73665006707-C6_024_006_proj.tif,0.82,Fe,4
279,P242_73665006707-A8_033_005_proj.tif,0.82,Fe,4
280,P242_73665006707-G4_002_027_proj.tif,0.82,Fe,4
285,P242_73665006707-G4_015_017_proj.tif,0.82,Fe,4
286,P242_73665006707-A8_015_018_proj.tif,0.82,Fe,4
288,P242_73665006707-C8_002_011_proj.tif,0.82,Fe,4
291,P242_73665006707-A6_015_002_proj.tif,0.82,Fe,4
293,P242_73665006707-A8_002_020_proj.tif,0.82,Fe,4
295,P242_73665006707-A8_002_015_proj.tif,0.82,Fe,4
