,filename,dose_Gy,particle_type,hr_post_exposure
4,P280_73668439105-E2_001_017_proj.tif,1.0,X-ray,4
6,P280_73668439105-E5_010_036_proj.tif,1.0,X-ray,4
9,P280_73668439105-F5_002_056_proj.tif,1.0,X-ray,4
11,P280_73668439105-E5_008_029_proj.tif,1.0,X-ray,4
12,P280_73668439105-C7_022_003_proj.tif,1.0,X-ray,4
16,P280_73668439105-E1_005_031_proj.tif,1.0,X-ray,4
17,P280_73668439105-F5_009_014_proj.tif,1.0,X-ray,4
20,P280_73668439105-F5_004_043_proj.tif,1.0,X-ray,4
22,P280_73668439105-E2_028_001_proj.tif,1.0,X-ray,4
23,P280_73668439105-E5_005_010_proj.tif,1.0,X-ray,4
29,P280_73668439105-E2_014_006_proj.tif,1.0,X-ray,4
30,P280_73668439105-A7_003_006_proj.tif,1.0,X-ray,4
33,P280_73668439105-C7_019_006_proj.tif,1.0,X-ray,4
34,P280_73668439105-C7_009_025_proj.tif,1.0,X-ray,4
35,P280_73668439105-D5_003_044_proj.tif,1.0,X-ray,4
38,P280_73668439105-E6_007_009_proj.tif,1.0,X-ray,4
39,P280_73668439105-C7_001_012_proj.tif,1.0,X-ray,4
40,P280_73668439105-F5_001_054_proj.tif,1.0,X-ray,4
41,P280_73668439105-E6_001_019_proj.tif,1.0,X-ray,4
44,P280_73668439105-D5_013_003_proj.tif,1.0,X-ray,4
46,P280_73668439105-D5_009_035_proj.tif,1.0,X-ray,4
49,P280_73668439105-C7_008_011_proj.tif,1.0,X-ray,4
51,P280_73668439105-A7_015_013_proj.tif,1.0,X-ray,4
52,P280_73668439105-E6_010_011_proj.tif,1.0,X-ray,4
53,P280_73668439105-D5_004_026_proj.tif,1.0,X-ray,4
54,P280_73668439105-F5_003_030_proj.tif,1.0,X-ray,4
56,P280_73668439105-E6_014_027_proj.tif,1.0,X-ray,4
58,P280_73668439105-E1_011_033_proj.tif,1.0,X-ray,4
65,P280_73668439105-E5_001_068_proj.tif,1.0,X-ray,4
69,P280_73668439105-D5_008_026_proj.tif,1.0,X-ray,4
70,P280_73668439105-D5_004_023_proj.tif,1.0,X-ray,4
71,P280_73668439105-E5_008_040_proj.tif,1.0,X-ray,4
72,P280_73668439105-D5_013_010_proj.tif,1.0,X-ray,4
74,P280_73668439105-C7_004_025_proj.tif,1.0,X-ray,4
76,P280_73668439105-E2_024_004_proj.tif,1.0,X-ray,4
79,P280_73668439105-D5_004_034_proj.tif,1.0,X-ray,4
82,P280_73668439105-E1_002_050_proj.tif,1.0,X-ray,4
83,P280_73668439105-F5_003_019_proj.tif,1.0,X-ray,4
85,P280_73668439105-E5_002_010_proj.tif,1.0,X-ray,4
86,P280_73668439105-E6_013_018_proj.tif,1.0,X-ray,4
87,P280_73668439105-E6_003_030_proj.tif,1.0,X-ray,4
90,P280_73668439105-C7_019_015_proj.tif,1.0,X-ray,4
91,P280_73668439105-C7_031_015_proj.tif,1.0,X-ray,4
92,P280_73668439105-C7_015_003_proj.tif,1.0,X-ray,4
96,P280_73668439105-E6_019_011_proj.tif,1.0,X-ray,4
98,P280_73668439105-E6_014_033_proj.tif,1.0,X-ray,4
100,P280_73668439105-A7_015_024_proj.tif,1.0,X-ray,4
101,P280_73668439105-E5_001_045_proj.tif,1.0,X-ray,4
102,P280_73668439105-C7_001_043_proj.tif,1.0,X-ray,4
104,P280_73668439105-E6_012_003_proj.tif,1.0,X-ray,4
108,P280_73668439105-C7_007_024_proj.tif,1.0,X-ray,4
112,P280_73668439105-D5_013_008_proj.tif,1.0,X-ray,4
113,P280_73668439105-A7_005_002_proj.tif,1.0,X-ray,4
116,P280_73668439105-E2_012_007_proj.tif,1.0,X-ray,4
117,P280_73668439105-E6_003_032_proj.tif,1.0,X-ray,4
118,P280_73668439105-E6_009_015_proj.tif,1.0,X-ray,4
119,P280_73668439105-F5_009_040_proj.tif,1.0,X-ray,4
120,P280_73668439105-F5_001_038_proj.tif,1.0,X-ray,4
122,P280_73668439105-E1_002_048_proj.tif,1.0,X-ray,4
125,P280_73668439105-E6_012_017_proj.tif,1.0,X-ray,4
126,P280_73668439105-E1_017_004_proj.tif,1.0,X-ray,4
130,P280_73668439105-F5_015_025_proj.tif,1.0,X-ray,4
132,P280_73668439105-E6_019_019_proj.tif,1.0,X-ray,4
133,P280_73668439105-A7_016_009_proj.tif,1.0,X-ray,4
135,P280_73668439105-A7_017_024_proj.tif,1.0,X-ray,4
